20240126 18:27:24[INFO] main start ...
20240126 18:27:24[INFO] [{'id': 0, 'mem_use': 7785.0, 'mem_total': 24564.0, 'pwr_use': 79.0, 'pwr_total': 450.0, 'gpu_util': 100.0}, {'id': 1, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 14.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 2, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 20.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 3, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 21.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 4, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 24.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 5, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 21.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 6, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 24.0, 'pwr_total': 450.0, 'gpu_util': 0.0}, {'id': 7, 'mem_use': 5.0, 'mem_total': 24564.0, 'pwr_use': 15.0, 'pwr_total': 450.0, 'gpu_util': 0.0}]
20240126 18:27:24[INFO] start process-0
20240126 18:27:24[INFO] start process-1
20240126 18:27:24[INFO] start process-2
20240126 18:27:24[INFO] start process-3
20240126 18:27:24[INFO] start process-4
20240126 18:27:24[INFO] start process-5
20240126 18:27:24[INFO] start process-6
20240126 18:27:24[INFO] main exit.
20240126 18:27:24[INFO] start process-7
20240126 23:44:00[INFO] gpu-0 is busy, wait 300s
20240126 23:45:20[INFO] gpu-3 is busy, wait 300s
20240126 23:49:00[INFO] gpu-0 is busy, wait 300s
20240126 23:54:02[INFO] gpu-0 is busy, wait 300s
20240126 23:59:04[INFO] gpu-0 is busy, wait 300s
20240127 00:04:04[INFO] gpu-0 is busy, wait 300s
20240127 00:09:05[INFO] gpu-0 is busy, wait 300s
20240127 00:14:06[INFO] gpu-0 is busy, wait 300s
20240127 00:19:07[INFO] gpu-0 is busy, wait 300s
20240127 00:24:07[INFO] gpu-0 is busy, wait 300s
20240127 00:29:08[INFO] gpu-0 is busy, wait 300s
20240127 00:34:09[INFO] gpu-0 is busy, wait 300s
20240127 00:39:10[INFO] gpu-0 is busy, wait 300s
20240127 00:44:11[INFO] gpu-0 is busy, wait 300s
20240127 00:49:12[INFO] gpu-0 is busy, wait 300s
20240127 00:54:13[INFO] gpu-0 is busy, wait 300s
20240127 00:59:15[INFO] gpu-0 is busy, wait 300s
20240127 01:04:17[INFO] gpu-0 is busy, wait 300s
20240127 01:09:19[INFO] gpu-0 is busy, wait 300s
20240127 01:14:21[INFO] gpu-0 is busy, wait 300s
20240127 01:19:22[INFO] gpu-0 is busy, wait 300s
20240127 01:24:23[INFO] gpu-0 is busy, wait 300s
20240127 01:29:24[INFO] gpu-0 is busy, wait 300s
20240127 01:34:25[INFO] gpu-0 is busy, wait 300s
20240127 01:39:25[INFO] gpu-0 is busy, wait 300s
20240127 01:44:26[INFO] gpu-0 is busy, wait 300s
20240127 01:49:27[INFO] gpu-0 is busy, wait 300s
20240127 01:54:28[INFO] gpu-0 is busy, wait 300s
20240127 01:59:30[INFO] gpu-0 is busy, wait 300s
20240127 02:04:32[INFO] gpu-0 is busy, wait 300s
20240127 02:09:34[INFO] gpu-0 is busy, wait 300s
20240127 02:14:36[INFO] gpu-0 is busy, wait 300s
20240127 02:19:36[INFO] gpu-0 is busy, wait 300s
20240127 02:24:37[INFO] gpu-0 is busy, wait 300s
20240127 02:29:37[INFO] gpu-0 is busy, wait 300s
20240127 02:34:38[INFO] gpu-0 is busy, wait 300s
20240127 02:39:40[INFO] gpu-0 is busy, wait 300s
20240127 02:44:42[INFO] gpu-0 is busy, wait 300s
20240127 02:49:43[INFO] gpu-0 is busy, wait 300s
20240127 02:54:43[INFO] gpu-0 is busy, wait 300s
20240127 02:59:44[INFO] gpu-0 is busy, wait 300s
20240127 03:04:45[INFO] gpu-0 is busy, wait 300s
20240127 03:09:46[INFO] gpu-0 is busy, wait 300s
20240127 03:14:47[INFO] gpu-0 is busy, wait 300s
20240127 03:19:47[INFO] gpu-0 is busy, wait 300s
20240127 03:24:48[INFO] gpu-0 is busy, wait 300s
20240127 03:29:49[INFO] gpu-0 is busy, wait 300s
20240127 03:34:52[INFO] gpu-0 is busy, wait 300s
20240127 03:39:54[INFO] gpu-0 is busy, wait 300s
20240127 03:44:55[INFO] gpu-0 is busy, wait 300s
20240127 03:49:57[INFO] gpu-0 is busy, wait 300s
20240127 03:54:58[INFO] gpu-0 is busy, wait 300s
20240127 03:59:58[INFO] gpu-0 is busy, wait 300s
20240127 04:04:59[INFO] gpu-0 is busy, wait 300s
20240127 04:09:59[INFO] gpu-0 is busy, wait 300s
20240127 04:15:00[INFO] gpu-0 is busy, wait 300s
20240127 04:20:01[INFO] gpu-0 is busy, wait 300s
20240127 04:25:03[INFO] gpu-0 is busy, wait 300s
20240127 04:30:06[INFO] gpu-0 is busy, wait 300s
20240127 04:35:08[INFO] gpu-0 is busy, wait 300s
20240127 04:40:10[INFO] gpu-0 is busy, wait 300s
20240127 04:45:11[INFO] gpu-0 is busy, wait 300s
20240127 04:50:13[INFO] gpu-0 is busy, wait 300s
20240127 04:55:15[INFO] gpu-0 is busy, wait 300s
20240127 05:00:17[INFO] gpu-0 is busy, wait 300s
20240127 05:05:18[INFO] gpu-0 is busy, wait 300s
20240127 05:10:20[INFO] gpu-0 is busy, wait 300s
20240127 05:15:20[INFO] gpu-0 is busy, wait 300s
20240127 05:20:21[INFO] gpu-0 is busy, wait 300s
20240127 05:25:22[INFO] gpu-0 is busy, wait 300s
20240127 05:30:23[INFO] gpu-0 is busy, wait 300s
20240127 05:35:24[INFO] gpu-0 is busy, wait 300s
20240127 05:40:24[INFO] gpu-0 is busy, wait 300s
20240127 05:45:25[INFO] gpu-0 is busy, wait 300s
20240127 05:50:26[INFO] gpu-0 is busy, wait 300s
20240127 05:55:26[INFO] gpu-0 is busy, wait 300s
20240127 06:00:27[INFO] gpu-0 is busy, wait 300s
20240127 06:05:27[INFO] gpu-0 is busy, wait 300s
20240127 06:10:28[INFO] gpu-0 is busy, wait 300s
20240127 06:15:30[INFO] gpu-0 is busy, wait 300s
20240127 06:20:31[INFO] gpu-0 is busy, wait 300s
20240127 06:25:32[INFO] gpu-0 is busy, wait 300s
20240127 06:30:32[INFO] gpu-0 is busy, wait 300s
20240127 06:35:33[INFO] gpu-0 is busy, wait 300s
20240127 06:40:34[INFO] gpu-0 is busy, wait 300s
20240127 06:45:34[INFO] gpu-0 is busy, wait 300s
20240127 06:50:35[INFO] gpu-0 is busy, wait 300s
20240127 06:55:35[INFO] gpu-0 is busy, wait 300s
20240127 07:00:36[INFO] gpu-0 is busy, wait 300s
20240127 07:05:38[INFO] gpu-0 is busy, wait 300s
20240127 07:10:39[INFO] gpu-0 is busy, wait 300s
20240127 07:15:40[INFO] gpu-0 is busy, wait 300s
20240127 07:20:40[INFO] gpu-0 is busy, wait 300s
20240127 07:25:42[INFO] gpu-0 is busy, wait 300s
20240127 07:30:42[INFO] gpu-0 is busy, wait 300s
20240127 07:35:43[INFO] gpu-0 is busy, wait 300s
20240127 07:40:44[INFO] gpu-0 is busy, wait 300s
20240127 07:45:45[INFO] gpu-0 is busy, wait 300s
20240127 07:50:46[INFO] gpu-0 is busy, wait 300s
20240127 07:55:48[INFO] gpu-0 is busy, wait 300s
20240127 08:00:49[INFO] gpu-0 is busy, wait 300s
20240127 08:05:50[INFO] gpu-0 is busy, wait 300s
20240127 08:10:50[INFO] gpu-0 is busy, wait 300s
20240127 08:15:52[INFO] gpu-0 is busy, wait 300s
20240127 08:20:53[INFO] gpu-0 is busy, wait 300s
20240127 08:25:53[INFO] gpu-0 is busy, wait 300s
20240127 08:30:54[INFO] gpu-0 is busy, wait 300s
20240127 08:35:55[INFO] gpu-0 is busy, wait 300s
20240127 08:40:57[INFO] gpu-0 is busy, wait 300s
20240127 08:45:58[INFO] gpu-0 is busy, wait 300s
20240127 08:50:59[INFO] gpu-0 is busy, wait 300s
20240127 08:56:00[INFO] gpu-0 is busy, wait 300s
20240127 09:01:00[INFO] gpu-0 is busy, wait 300s
20240127 09:06:01[INFO] gpu-0 is busy, wait 300s
20240127 09:11:02[INFO] gpu-0 is busy, wait 300s
20240127 09:16:04[INFO] gpu-0 is busy, wait 300s
20240127 09:21:05[INFO] gpu-0 is busy, wait 300s
20240127 09:26:05[INFO] gpu-0 is busy, wait 300s
20240127 09:31:06[INFO] gpu-0 is busy, wait 300s
20240127 09:36:07[INFO] gpu-0 is busy, wait 300s
20240127 09:41:08[INFO] gpu-0 is busy, wait 300s
20240127 09:46:10[INFO] gpu-0 is busy, wait 300s
20240127 09:51:12[INFO] gpu-0 is busy, wait 300s
20240127 09:56:14[INFO] gpu-0 is busy, wait 300s
20240127 10:01:15[INFO] gpu-0 is busy, wait 300s
20240127 10:06:17[INFO] gpu-0 is busy, wait 300s
20240127 10:11:20[INFO] gpu-0 is busy, wait 300s
20240127 10:16:21[INFO] gpu-0 is busy, wait 300s
20240127 10:21:24[INFO] gpu-0 is busy, wait 300s
20240127 10:26:26[INFO] gpu-0 is busy, wait 300s
20240127 10:31:28[INFO] gpu-0 is busy, wait 300s
20240127 10:36:30[INFO] gpu-0 is busy, wait 300s
20240127 10:41:32[INFO] gpu-0 is busy, wait 300s
20240127 10:46:33[INFO] gpu-0 is busy, wait 300s
20240127 10:51:35[INFO] gpu-0 is busy, wait 300s
20240127 10:56:38[INFO] gpu-0 is busy, wait 300s
20240127 11:01:39[INFO] gpu-0 is busy, wait 300s
20240127 11:06:42[INFO] gpu-0 is busy, wait 300s
20240127 11:11:44[INFO] gpu-0 is busy, wait 300s
20240127 11:16:45[INFO] gpu-0 is busy, wait 300s
20240127 11:21:46[INFO] gpu-0 is busy, wait 300s
20240127 11:26:46[INFO] gpu-0 is busy, wait 300s
20240127 11:31:47[INFO] gpu-0 is busy, wait 300s
20240127 11:36:48[INFO] gpu-0 is busy, wait 300s
20240127 11:41:48[INFO] gpu-0 is busy, wait 300s
20240127 11:46:50[INFO] gpu-0 is busy, wait 300s
20240127 11:51:50[INFO] gpu-0 is busy, wait 300s
20240127 11:56:51[INFO] gpu-0 is busy, wait 300s
20240127 12:01:52[INFO] gpu-0 is busy, wait 300s
20240127 12:06:52[INFO] gpu-0 is busy, wait 300s
20240127 12:11:54[INFO] gpu-0 is busy, wait 300s
20240127 12:16:55[INFO] gpu-0 is busy, wait 300s
20240127 12:21:55[INFO] gpu-0 is busy, wait 300s
20240127 12:26:56[INFO] gpu-0 is busy, wait 300s
20240127 12:31:57[INFO] gpu-0 is busy, wait 300s
20240127 12:36:59[INFO] gpu-0 is busy, wait 300s
20240127 12:42:01[INFO] gpu-0 is busy, wait 300s
20240127 12:47:02[INFO] gpu-0 is busy, wait 300s
20240127 12:52:02[INFO] gpu-0 is busy, wait 300s
20240127 12:57:03[INFO] gpu-0 is busy, wait 300s
20240127 13:02:04[INFO] gpu-0 is busy, wait 300s
20240127 13:07:05[INFO] gpu-0 is busy, wait 300s
20240127 13:12:06[INFO] gpu-0 is busy, wait 300s
20240127 13:17:06[INFO] gpu-0 is busy, wait 300s
20240127 13:22:07[INFO] gpu-0 is busy, wait 300s
20240127 13:27:08[INFO] gpu-0 is busy, wait 300s
20240127 13:32:10[INFO] gpu-0 is busy, wait 300s
20240127 13:37:12[INFO] gpu-0 is busy, wait 300s
20240127 13:42:14[INFO] gpu-0 is busy, wait 300s
20240127 13:47:16[INFO] gpu-0 is busy, wait 300s
20240127 13:52:18[INFO] gpu-0 is busy, wait 300s
20240127 13:57:19[INFO] gpu-0 is busy, wait 300s
20240127 14:02:19[INFO] gpu-0 is busy, wait 300s
20240127 14:07:21[INFO] gpu-0 is busy, wait 300s
20240127 14:12:21[INFO] gpu-0 is busy, wait 300s
20240127 14:17:23[INFO] gpu-0 is busy, wait 300s
20240127 14:22:24[INFO] gpu-0 is busy, wait 300s
20240127 14:27:25[INFO] gpu-0 is busy, wait 300s
20240127 14:32:26[INFO] gpu-0 is busy, wait 300s
20240127 14:37:26[INFO] gpu-0 is busy, wait 300s
20240127 14:42:27[INFO] gpu-0 is busy, wait 300s
20240127 14:47:28[INFO] gpu-0 is busy, wait 300s
20240127 14:52:28[INFO] gpu-0 is busy, wait 300s
20240127 14:57:29[INFO] gpu-0 is busy, wait 300s
20240127 15:02:29[INFO] gpu-0 is busy, wait 300s
20240127 15:07:30[INFO] gpu-0 is busy, wait 300s
20240127 15:12:31[INFO] gpu-0 is busy, wait 300s
20240127 15:17:32[INFO] gpu-0 is busy, wait 300s
20240127 15:22:32[INFO] gpu-0 is busy, wait 300s
20240127 15:27:34[INFO] gpu-0 is busy, wait 300s
20240127 15:32:36[INFO] gpu-0 is busy, wait 300s
20240127 15:37:37[INFO] gpu-0 is busy, wait 300s
20240127 15:42:39[INFO] gpu-0 is busy, wait 300s
20240127 15:47:41[INFO] gpu-0 is busy, wait 300s
20240127 15:52:44[INFO] gpu-0 is busy, wait 300s
20240127 15:57:46[INFO] gpu-0 is busy, wait 300s
20240127 16:02:46[INFO] gpu-0 is busy, wait 300s
20240127 16:03:26[INFO] gpu-6 is busy, wait 300s
20240127 16:03:28[INFO] gpu-3 is busy, wait 300s
20240127 16:03:28[INFO] gpu-4 is busy, wait 300s
20240127 16:03:28[INFO] gpu-2 is busy, wait 300s
20240127 16:03:28[INFO] gpu-5 is busy, wait 300s
20240127 16:03:28[INFO] gpu-1 is busy, wait 300s
20240127 16:07:47[INFO] gpu-0 is busy, wait 300s
20240127 16:12:48[INFO] gpu-0 is busy, wait 300s
20240127 16:17:48[INFO] gpu-0 is busy, wait 300s
20240127 16:22:49[INFO] gpu-0 is busy, wait 300s
20240127 16:27:50[INFO] gpu-0 is busy, wait 300s
20240127 16:32:52[INFO] gpu-0 is busy, wait 300s
20240127 16:37:53[INFO] gpu-0 is busy, wait 300s
20240127 16:42:55[INFO] gpu-0 is busy, wait 300s
20240127 16:47:57[INFO] gpu-0 is busy, wait 300s
20240127 16:52:59[INFO] gpu-0 is busy, wait 300s
20240127 16:58:01[INFO] gpu-0 is busy, wait 300s
20240127 17:03:03[INFO] gpu-0 is busy, wait 300s
20240127 17:08:05[INFO] gpu-0 is busy, wait 300s
20240127 17:13:07[INFO] gpu-0 is busy, wait 300s
20240127 17:18:09[INFO] gpu-0 is busy, wait 300s
20240127 17:23:11[INFO] gpu-0 is busy, wait 300s
20240127 17:28:13[INFO] gpu-0 is busy, wait 300s
20240127 17:33:15[INFO] gpu-0 is busy, wait 300s
20240127 17:38:17[INFO] gpu-0 is busy, wait 300s
20240127 17:43:19[INFO] gpu-0 is busy, wait 300s
20240127 17:48:21[INFO] gpu-0 is busy, wait 300s
20240127 17:53:23[INFO] gpu-0 is busy, wait 300s
20240127 17:58:25[INFO] gpu-0 is busy, wait 300s
20240127 18:03:27[INFO] gpu-0 is busy, wait 300s
20240127 18:08:29[INFO] gpu-0 is busy, wait 300s
20240127 18:13:29[INFO] gpu-0 is busy, wait 300s
20240127 18:18:30[INFO] gpu-0 is busy, wait 300s
20240127 18:23:30[INFO] gpu-0 is busy, wait 300s
20240127 18:28:31[INFO] gpu-0 is busy, wait 300s
20240127 18:33:32[INFO] gpu-0 is busy, wait 300s
20240127 18:38:32[INFO] gpu-0 is busy, wait 300s
20240127 18:43:33[INFO] gpu-0 is busy, wait 300s
20240127 18:48:36[INFO] gpu-0 is busy, wait 300s
20240127 18:53:36[INFO] gpu-0 is busy, wait 300s
20240127 18:58:37[INFO] gpu-0 is busy, wait 300s
20240127 19:03:37[INFO] gpu-0 is busy, wait 300s
20240127 19:08:38[INFO] gpu-0 is busy, wait 300s
20240127 19:13:40[INFO] gpu-0 is busy, wait 300s
20240127 19:18:40[INFO] gpu-0 is busy, wait 300s
20240127 19:23:41[INFO] gpu-0 is busy, wait 300s
20240127 19:28:41[INFO] gpu-0 is busy, wait 300s
20240127 19:33:42[INFO] gpu-0 is busy, wait 300s
20240127 19:38:44[INFO] gpu-0 is busy, wait 300s
20240127 19:43:46[INFO] gpu-0 is busy, wait 300s
20240127 19:48:48[INFO] gpu-0 is busy, wait 300s
20240127 19:53:49[INFO] gpu-0 is busy, wait 300s
20240127 19:58:49[INFO] gpu-0 is busy, wait 300s
20240127 20:03:50[INFO] gpu-0 is busy, wait 300s
20240127 20:08:51[INFO] gpu-0 is busy, wait 300s
20240127 20:13:53[INFO] gpu-0 is busy, wait 300s
20240127 20:18:53[INFO] gpu-0 is busy, wait 300s
20240127 20:23:54[INFO] gpu-0 is busy, wait 300s
20240127 20:28:54[INFO] gpu-0 is busy, wait 300s
20240127 20:33:55[INFO] gpu-0 is busy, wait 300s
20240127 20:38:56[INFO] gpu-0 is busy, wait 300s
20240127 20:43:58[INFO] gpu-0 is busy, wait 300s
20240127 20:48:58[INFO] gpu-0 is busy, wait 300s
20240127 20:53:59[INFO] gpu-0 is busy, wait 300s
20240127 20:58:59[INFO] gpu-0 is busy, wait 300s
20240127 21:04:00[INFO] gpu-0 is busy, wait 300s
20240127 21:09:01[INFO] gpu-0 is busy, wait 300s
20240127 21:14:01[INFO] gpu-0 is busy, wait 300s
20240127 21:19:02[INFO] gpu-0 is busy, wait 300s
20240127 21:24:03[INFO] gpu-0 is busy, wait 300s
20240127 21:29:03[INFO] gpu-0 is busy, wait 300s
20240127 21:34:04[INFO] gpu-0 is busy, wait 300s
20240127 21:39:05[INFO] gpu-0 is busy, wait 300s
20240127 21:41:04[INFO] gpu-7 is busy, wait 300s
20240127 21:44:06[INFO] gpu-0 is busy, wait 300s
20240127 21:49:07[INFO] gpu-0 is busy, wait 300s
20240127 21:51:22[INFO] gpu-6 is busy, wait 300s
20240127 21:54:07[INFO] gpu-0 is busy, wait 300s
20240127 21:54:40[INFO] gpu-7 is busy, wait 300s
20240127 21:56:59[INFO] gpu-6 is busy, wait 300s
20240127 21:57:00[INFO] gpu-4 is busy, wait 300s
20240127 21:57:00[INFO] gpu-3 is busy, wait 300s
20240127 21:57:00[INFO] gpu-2 is busy, wait 300s
20240127 21:57:01[INFO] gpu-5 is busy, wait 300s
20240127 21:57:01[INFO] gpu-1 is busy, wait 300s
20240127 21:59:08[INFO] gpu-0 is busy, wait 300s
20240127 21:59:52[INFO] gpu-7 is busy, wait 300s
20240127 22:02:00[INFO] gpu-6 is busy, wait 300s
20240127 22:02:01[INFO] gpu-4 is busy, wait 300s
20240127 22:02:01[INFO] gpu-3 is busy, wait 300s
20240127 22:02:02[INFO] gpu-2 is busy, wait 300s
20240127 22:02:02[INFO] gpu-5 is busy, wait 300s
20240127 22:02:03[INFO] gpu-1 is busy, wait 300s
20240127 22:04:08[INFO] gpu-0 is busy, wait 300s
20240127 22:04:53[INFO] gpu-7 is busy, wait 300s
20240127 22:07:00[INFO] gpu-6 is busy, wait 300s
20240127 22:07:02[INFO] gpu-4 is busy, wait 300s
